word	ref	asr
owl	8	5
own	8	7
p	6	1
pack	3	1
packet	0	2
pad	1	0
page	2	3
painful	1	0
paint	6	5
pair	1	0
pale	1	0
palm	2	0
pamper	1	1
pan	0	1
pancake	1	0
pantie	1	1
pants	12	6
papa	3	3
paper	6	4
papilla	1	0
par	1	0
pardon	4	3
parent	2	4
park	5	6
parking	3	2
parole	1	1
parsnip	1	0
part	8	11
particle	1	1
particular	1	0
party	6	6
pass	4	4
past	5	5
pat	11	3
path	1	2
patient	1	0
pattern	1	0
pause	0	1
pay	12	10
payment	2	2
pea	1	2
peace	0	12
pearl	0	2
peasy	1	0
peek	1	1
peekaboo	5	2
peel	2	0
pen	0	1
pencil	2	1
people	0	1
pepper	2	1
pepperoni	3	1
percent	3	0
percentile	1	1
perfect	4	5
perform	1	1
performer	1	1
perhaps	2	2
period	1	1
person	18	26
personally	1	1
pet	1	1
phase	1	0
phone	18	26
phoo	1	0
photo	2	1
phrase	1	0
pick	22	15
pickle	0	2
picture	7	8
pie	2	0
piece	6	5
pig	2	0
piggy	3	1
pile	2	2
pillow	3	3
pin	1	1
pinch	1	1
pink	5	1
pinker	0	1
pioneer	1	1
pish	1	1
piss	2	2
pitch	1	2
pizza	2	2
place	14	10
plain	1	0
plan	4	5
plane	3	4
plant	0	1
plate	7	2
play	62	54
player	0	1
playground	0	1
please	43	30
pledge	1	0
plenty	1	0
plot	1	1
plume	0	1
plus	6	4
pocket	3	2
point	9	9
polite	0	1
pond	1	0
poof	0	1
pool	5	3
poop	15	10
poor	6	3
pop	1	22
poppin	0	1
poppy	1	2
popular	0	1
pork	1	1
porridge	1	0
portion	1	1
posh	1	0
positive	1	2
possible	1	1
pot	3	1
potato	3	3
pott	1	0
pound	5	1
pour	4	0
power	0	2
pox	1	0
praise	1	0
pram	2	0
pray	2	2
prayer	1	0
prefer	0	1
pregnancy	1	0
prendre	1	0
present	2	0
press	1	2
pressure	1	0
pretend	1	1
pretty	25	22
pretzel	3	3
price	2	3
primitive	1	0
princess	2	2
print	0	1
printing	1	1
privilege	0	1
prob	1	0
probably	22	29
probation	0	1
problem	3	6
process	2	1
program	1	1
progress	1	1
